Name,Email,Primary
Syed Thyosn,Syed.Thyosn@contoso.com,no
Kim Kardashein,Kim.Kardashein@contoso.com,no
Sam Said,Sam.Said@contoso.com,no
Hazem Shazam,Hazem.Shazam@contoso.com,Yes
Pilar Ofhope,Pilar.Ofhope@contoso.com,no
Terry Bradshaw,TerryF.Bradshaw@contoso.com,Yes
Amy Cartwright,Amy.Cartwright@contoso.com,no
Greg Carson,Greg.Carson@contoso.com,no
Pamela Anderson,Pamela.Anderson@contoso.com,no
Julie Winchester,Julie.Winchester@contoso.com,no
David Smith,DavidC.Smith@contoso.com,Yes
Robert Filter,Robert.Filter@contoso.com,no
Shai Zyghityrethai,Shai.Zyghityrethai@contoso.com,no
Ann Benson,Ann.Benson@contoso.com,no
Mason Janicki,Mason.Janicki@contoso.com,no
Sharon Stone,Sharon.Stone@contoso.com,no
